,name,protected,protection_url,repo_name,owner,commit.sha,commit.url,protection.enabled,protection.required_status_checks.enforcement_level,protection.required_status_checks.contexts
0,akilesh223-patch-1,False,https://api.github.com/repos/vishwakulkarni/Social-media-impact-cryptocurrency/branches/akilesh223-patch-1/protection,Social-media-impact-cryptocurrency,vishwakulkarni,5c84a33ba894708e1835de5b9985d710bfa6fd8e,https://api.github.com/repos/vishwakulkarni/Social-media-impact-cryptocurrency/commits/5c84a33ba894708e1835de5b9985d710bfa6fd8e,False,off,[]
1,master,False,https://api.github.com/repos/vishwakulkarni/Social-media-impact-cryptocurrency/branches/master/protection,Social-media-impact-cryptocurrency,vishwakulkarni,d4f0f911521df6f96f7f48026c56493a4e0379d7,https://api.github.com/repos/vishwakulkarni/Social-media-impact-cryptocurrency/commits/d4f0f911521df6f96f7f48026c56493a4e0379d7,False,off,[]
